"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"29326",35,"blue-collar","married","primary","no",526,"yes","no","cellular",2,"feb",914,2,-1,0,"unknown","no"
"42821",60,"management","married","unknown","no",264,"no","no","telephone",1,"feb",265,1,-1,0,"unknown","yes"
"8344",28,"blue-collar","single","secondary","no",5149,"yes","no","unknown",2,"jun",232,3,-1,0,"unknown","no"
"45188",32,"services","single","secondary","no",1168,"yes","no","cellular",16,"nov",411,1,-1,0,"unknown","yes"
"31013",38,"management","married","tertiary","no",184,"no","no","cellular",10,"feb",64,2,188,2,"failure","no"
"19292",40,"management","single","tertiary","no",0,"no","no","cellular",6,"aug",641,6,-1,0,"unknown","yes"
"13156",28,"services","married","secondary","no",510,"yes","yes","cellular",8,"jul",1767,2,-1,0,"unknown","yes"
"29654",41,"management","divorced","tertiary","no",0,"no","no","cellular",3,"feb",475,3,-1,0,"unknown","no"
"42319",56,"management","married","primary","no",870,"no","no","cellular",16,"nov",257,1,-1,0,"unknown","yes"
"30352",34,"unemployed","married","primary","no",309,"no","no","cellular",5,"feb",578,1,-1,0,"unknown","yes"
"34201",56,"management","married","tertiary","no",2333,"no","no","cellular",4,"may",244,1,-1,0,"unknown","yes"
"28867",30,"technician","married","tertiary","no",1454,"no","no","telephone",30,"jan",276,3,-1,0,"unknown","no"
"43477",35,"self-employed","married","tertiary","no",1178,"yes","yes","cellular",15,"apr",220,2,183,5,"failure","no"
"41808",62,"services","married","primary","no",276,"no","no","cellular",14,"oct",80,2,-1,0,"unknown","no"
"38435",39,"entrepreneur","married","tertiary","yes",-172,"yes","no","cellular",15,"may",562,2,-1,0,"unknown","yes"
"42123",29,"student","single","unknown","no",10332,"no","no","cellular",2,"nov",46,3,-1,0,"unknown","yes"
"6855",57,"retired","married","tertiary","no",0,"yes","yes","unknown",28,"may",648,1,-1,0,"unknown","yes"
"27282",49,"management","married","tertiary","yes",10,"yes","no","cellular",21,"nov",226,1,-1,0,"unknown","no"
"14680",31,"blue-collar","married","secondary","no",0,"no","yes","telephone",15,"jul",275,2,-1,0,"unknown","no"
"35509",35,"admin.","divorced","secondary","no",0,"yes","no","cellular",7,"may",262,2,-1,0,"unknown","no"
"41609",70,"retired","married","tertiary","no",44,"no","no","cellular",18,"sep",1104,2,88,2,"other","yes"
"28578",27,"blue-collar","single","secondary","yes",81,"no","yes","cellular",29,"jan",123,2,205,2,"success","no"
"32471",39,"entrepreneur","divorced","tertiary","no",0,"no","no","cellular",16,"apr",561,3,-1,0,"unknown","no"
"17131",39,"technician","married","secondary","no",10685,"yes","no","cellular",25,"jul",1369,9,-1,0,"unknown","yes"
"11059",51,"self-employed","married","primary","no",307,"yes","yes","unknown",17,"jun",65,2,-1,0,"unknown","no"
"3237",60,"entrepreneur","married","tertiary","no",1164,"yes","no","unknown",15,"may",325,1,-1,0,"unknown","no"
"34164",36,"admin.","single","secondary","no",728,"no","no","cellular",30,"apr",230,1,-1,0,"unknown","yes"
"3544",31,"technician","single","secondary","no",1819,"yes","no","unknown",15,"may",226,2,-1,0,"unknown","no"
"13414",50,"management","married","unknown","no",0,"no","no","cellular",9,"jul",99,2,-1,0,"unknown","no"
"35464",24,"management","single","tertiary","no",1085,"no","yes","cellular",7,"may",95,6,-1,0,"unknown","no"
"40703",72,"retired","married","primary","no",1612,"no","no","cellular",7,"aug",530,2,-1,0,"unknown","yes"
"38012",35,"management","single","tertiary","no",916,"yes","no","cellular",14,"may",460,2,-1,0,"unknown","yes"
"12415",41,"blue-collar","married","primary","no",509,"yes","no","unknown",30,"jun",146,3,-1,0,"unknown","no"
"4022",52,"self-employed","married","secondary","no",1066,"yes","no","unknown",16,"may",65,3,-1,0,"unknown","no"
"2766",31,"blue-collar","married","secondary","no",369,"yes","yes","unknown",14,"may",89,2,-1,0,"unknown","no"
"12687",51,"technician","married","secondary","no",216,"no","no","cellular",7,"jul",615,2,-1,0,"unknown","yes"
"41993",52,"services","married","secondary","no",992,"yes","no","cellular",27,"oct",424,1,515,1,"failure","yes"
"22056",35,"management","married","tertiary","no",47,"no","yes","cellular",20,"aug",44,9,-1,0,"unknown","no"
"16324",46,"entrepreneur","divorced","tertiary","no",91,"no","yes","cellular",23,"jul",182,1,-1,0,"unknown","no"
"3709",31,"self-employed","single","tertiary","no",144,"yes","no","unknown",16,"may",676,1,-1,0,"unknown","yes"
"43835",26,"technician","single","tertiary","no",515,"no","no","cellular",31,"may",775,1,-1,0,"unknown","yes"
"16677",44,"blue-collar","married","secondary","no",3348,"no","yes","cellular",24,"jul",504,2,-1,0,"unknown","no"
"12325",52,"services","married","secondary","no",-1,"no","yes","unknown",26,"jun",138,3,-1,0,"unknown","no"
"31242",58,"management","divorced","secondary","no",10180,"no","no","cellular",3,"mar",180,2,-1,0,"unknown","yes"
"42797",62,"technician","married","unknown","no",4727,"yes","no","telephone",28,"jan",80,4,90,4,"other","no"
"8617",30,"blue-collar","married","secondary","yes",-18,"no","no","unknown",3,"jun",157,2,-1,0,"unknown","no"
"8942",44,"services","divorced","secondary","no",0,"yes","no","unknown",4,"jun",389,5,-1,0,"unknown","no"
"27158",46,"management","married","tertiary","no",39,"yes","yes","cellular",21,"nov",64,1,-1,0,"unknown","no"
"38840",32,"management","married","tertiary","no",477,"yes","no","telephone",18,"may",87,6,178,5,"failure","no"
"13990",44,"blue-collar","married","primary","no",6,"no","no","cellular",10,"jul",338,9,-1,0,"unknown","no"
"30925",46,"services","married","secondary","no",561,"yes","no","cellular",9,"feb",84,4,256,7,"failure","no"
"29679",32,"services","divorced","secondary","no",41,"yes","no","cellular",3,"feb",251,4,187,11,"other","no"
"9699",28,"blue-collar","married","secondary","no",822,"yes","no","unknown",6,"jun",209,18,-1,0,"unknown","no"
"42778",35,"technician","married","secondary","no",481,"yes","yes","telephone",28,"jan",141,4,164,1,"other","no"
"8221",40,"admin.","single","unknown","no",358,"yes","no","unknown",2,"jun",350,1,-1,0,"unknown","no"
"41573",49,"technician","divorced","tertiary","no",596,"yes","no","telephone",15,"sep",722,1,-1,0,"unknown","yes"
"28149",53,"services","married","unknown","no",164,"no","no","cellular",29,"jan",139,1,-1,0,"unknown","no"
"13105",26,"self-employed","single","secondary","no",551,"no","no","cellular",8,"jul",531,1,-1,0,"unknown","yes"
"17951",41,"management","married","tertiary","no",636,"yes","no","telephone",30,"jul",80,2,-1,0,"unknown","no"
"7282",56,"technician","married","secondary","no",589,"yes","no","unknown",29,"may",535,2,-1,0,"unknown","yes"
"24429",43,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",17,"nov",105,1,-1,0,"unknown","no"
"29289",31,"management","single","tertiary","no",3283,"no","no","cellular",2,"feb",258,1,73,1,"failure","yes"
"19236",46,"blue-collar","married","secondary","no",398,"yes","yes","cellular",6,"aug",128,2,-1,0,"unknown","no"
"1892",43,"management","married","secondary","no",3,"yes","no","unknown",9,"may",204,2,-1,0,"unknown","no"
"26899",55,"technician","married","secondary","no",6958,"yes","yes","cellular",21,"nov",325,5,192,2,"failure","no"
"41762",55,"admin.","married","secondary","no",9329,"no","no","cellular",13,"oct",135,1,113,2,"failure","no"
"40978",37,"technician","married","secondary","no",24,"yes","no","cellular",13,"aug",136,1,105,2,"failure","no"
"35767",38,"admin.","divorced","secondary","no",258,"yes","no","cellular",8,"may",191,1,-1,0,"unknown","no"
"7905",38,"technician","single","secondary","no",-143,"yes","no","unknown",30,"may",428,7,-1,0,"unknown","no"
"7667",40,"services","married","primary","no",1082,"yes","no","unknown",30,"may",854,2,-1,0,"unknown","yes"
"32360",50,"blue-collar","married","primary","no",180,"yes","no","cellular",16,"apr",105,2,-1,0,"unknown","no"
"12358",27,"blue-collar","married","primary","no",-413,"no","yes","unknown",27,"jun",422,6,-1,0,"unknown","yes"
"9122",50,"management","married","unknown","no",3304,"no","no","unknown",5,"jun",1009,2,-1,0,"unknown","no"
"26672",38,"blue-collar","married","primary","no",3289,"no","no","cellular",20,"nov",340,2,164,2,"failure","no"
"11211",48,"blue-collar","single","primary","no",0,"no","no","unknown",18,"jun",71,1,-1,0,"unknown","no"
"42406",25,"student","single","tertiary","no",1189,"no","no","cellular",3,"dec",110,1,183,1,"success","no"
"20018",31,"management","single","tertiary","no",2,"no","no","cellular",8,"aug",848,1,-1,0,"unknown","yes"
"33343",39,"blue-collar","married","secondary","no",1165,"yes","no","cellular",20,"apr",354,1,-1,0,"unknown","no"
"12917",28,"admin.","single","secondary","no",1507,"no","no","cellular",7,"jul",92,1,-1,0,"unknown","no"
"13895",60,"management","married","tertiary","no",340,"no","yes","cellular",10,"jul",361,2,-1,0,"unknown","no"
"4337",54,"blue-collar","married","secondary","no",233,"yes","no","unknown",19,"may",220,3,-1,0,"unknown","no"
"4442",36,"management","married","tertiary","no",860,"yes","no","unknown",20,"may",294,15,-1,0,"unknown","no"
"33898",36,"admin.","married","secondary","no",96,"no","no","cellular",30,"apr",208,1,87,1,"success","yes"
"43214",73,"retired","single","secondary","no",1050,"no","no","cellular",4,"mar",562,3,181,2,"failure","yes"
"4818",33,"blue-collar","single","secondary","no",2764,"yes","no","unknown",21,"may",118,1,-1,0,"unknown","no"
"43310",60,"retired","divorced","secondary","no",514,"no","no","cellular",16,"mar",263,1,124,9,"other","yes"
"44425",33,"technician","married","secondary","no",180,"no","no","cellular",4,"aug",561,1,435,3,"failure","yes"
"31976",38,"blue-collar","married","secondary","no",1663,"yes","no","cellular",13,"apr",217,3,327,1,"failure","no"
"19860",59,"blue-collar","married","secondary","no",12928,"no","no","cellular",8,"aug",66,2,-1,0,"unknown","no"
"1394",28,"blue-collar","married","primary","no",113,"yes","no","unknown",8,"may",534,2,-1,0,"unknown","no"
"36884",48,"blue-collar","married","secondary","no",525,"yes","no","cellular",12,"may",325,2,-1,0,"unknown","no"
"21445",31,"management","single","secondary","no",0,"no","no","cellular",18,"aug",87,7,-1,0,"unknown","no"
"19731",33,"technician","divorced","secondary","no",801,"no","no","cellular",7,"aug",341,5,-1,0,"unknown","yes"
"31909",35,"admin.","married","secondary","no",-312,"no","no","cellular",9,"apr",188,1,-1,0,"unknown","no"
"490",40,"blue-collar","married","primary","no",-66,"yes","no","unknown",6,"may",288,1,-1,0,"unknown","no"
"42408",29,"housemaid","single","tertiary","no",19,"no","no","cellular",3,"dec",274,1,230,1,"success","yes"
"42898",28,"services","single","secondary","no",1059,"no","no","cellular",4,"feb",146,5,276,1,"other","no"
"28920",44,"self-employed","married","secondary","no",335,"no","no","cellular",2,"feb",105,1,-1,0,"unknown","no"
"3010",35,"blue-collar","married","primary","no",441,"yes","no","unknown",14,"may",8,1,-1,0,"unknown","no"
"31549",37,"management","married","tertiary","no",489,"yes","no","cellular",3,"apr",246,2,133,6,"failure","no"
"35888",37,"admin.","married","secondary","no",1314,"yes","no","cellular",8,"may",682,2,85,7,"success","no"
"44103",80,"retired","married","secondary","no",668,"no","no","telephone",8,"jul",250,1,371,1,"success","yes"
"41936",35,"technician","married","secondary","no",2779,"no","no","cellular",22,"oct",118,2,-1,0,"unknown","yes"
"6372",42,"unemployed","married","secondary","no",-165,"yes","yes","unknown",27,"may",179,3,-1,0,"unknown","no"
"2985",34,"blue-collar","married","secondary","no",577,"no","no","unknown",14,"may",337,1,-1,0,"unknown","no"
"14299",29,"management","married","tertiary","no",581,"yes","yes","cellular",14,"jul",192,2,-1,0,"unknown","no"
"24891",57,"unemployed","married","secondary","no",1681,"no","no","cellular",18,"nov",226,1,-1,0,"unknown","no"
"19614",32,"management","single","tertiary","no",4291,"no","no","cellular",7,"aug",1321,9,-1,0,"unknown","yes"
"8707",32,"technician","single","tertiary","no",6281,"yes","no","unknown",3,"jun",1336,4,-1,0,"unknown","yes"
"33747",30,"services","married","tertiary","no",81,"no","no","cellular",22,"apr",145,1,-1,0,"unknown","yes"
"33026",56,"blue-collar","married","secondary","no",1686,"no","no","telephone",17,"apr",100,2,-1,0,"unknown","no"
"26111",32,"blue-collar","married","secondary","no",254,"yes","no","cellular",19,"nov",1720,3,-1,0,"unknown","yes"
"3789",33,"blue-collar","single","secondary","no",272,"yes","no","unknown",16,"may",122,3,-1,0,"unknown","no"
"8701",51,"technician","single","tertiary","no",11222,"yes","no","unknown",3,"jun",151,7,-1,0,"unknown","no"
"2691",31,"blue-collar","married","primary","no",651,"yes","no","unknown",13,"may",241,2,-1,0,"unknown","no"
"43080",22,"student","single","unknown","no",1215,"no","no","cellular",19,"feb",145,3,192,1,"failure","yes"
"21714",34,"management","married","tertiary","no",46,"no","no","cellular",19,"aug",729,5,-1,0,"unknown","no"
"41039",37,"management","married","tertiary","no",1276,"no","no","cellular",14,"aug",156,2,-1,0,"unknown","yes"
"32630",38,"management","married","tertiary","no",-113,"yes","no","cellular",17,"apr",141,1,323,3,"failure","no"
"24338",58,"admin.","married","secondary","no",4962,"no","yes","cellular",17,"nov",112,1,-1,0,"unknown","no"
"42181",24,"student","single","secondary","no",125,"no","no","cellular",9,"nov",263,1,90,1,"failure","yes"
"28375",28,"entrepreneur","married","unknown","no",1034,"no","no","cellular",29,"jan",113,1,-1,0,"unknown","no"
"44033",33,"management","single","tertiary","no",3143,"no","no","cellular",29,"jun",421,2,-1,0,"unknown","yes"
"21039",41,"blue-collar","divorced","secondary","no",388,"no","no","cellular",14,"aug",605,2,-1,0,"unknown","no"
"21604",32,"technician","single","secondary","no",10,"no","no","cellular",19,"aug",190,2,-1,0,"unknown","no"
"41476",45,"management","single","tertiary","no",1411,"no","no","cellular",7,"sep",800,2,102,3,"failure","yes"
"30441",54,"technician","married","secondary","no",0,"no","no","telephone",5,"feb",744,3,-1,0,"unknown","yes"
"18554",34,"services","married","secondary","no",27,"yes","yes","cellular",31,"jul",249,3,-1,0,"unknown","no"
"14306",30,"self-employed","single","secondary","no",635,"no","yes","cellular",14,"jul",209,2,-1,0,"unknown","no"
"11063",45,"unknown","married","unknown","no",1979,"no","no","unknown",17,"jun",76,3,-1,0,"unknown","no"
"30926",34,"admin.","married","secondary","no",764,"no","no","cellular",9,"feb",89,2,-1,0,"unknown","no"
"40970",50,"services","married","secondary","no",3169,"no","no","cellular",13,"aug",399,1,430,1,"failure","yes"
"12641",31,"blue-collar","single","secondary","no",-27,"no","no","unknown",4,"jul",96,2,-1,0,"unknown","no"
"30723",54,"management","married","tertiary","no",5927,"no","no","cellular",6,"feb",256,2,-1,0,"unknown","no"
"27762",32,"student","married","secondary","no",0,"no","no","cellular",28,"jan",558,1,-1,0,"unknown","no"
"12483",29,"technician","married","tertiary","no",975,"no","no","unknown",1,"jul",56,1,-1,0,"unknown","no"
"40277",35,"self-employed","single","tertiary","no",71,"no","no","cellular",15,"jun",651,1,-1,0,"unknown","yes"
"31151",62,"housemaid","married","unknown","no",2021,"no","no","telephone",26,"feb",361,1,-1,0,"unknown","yes"
"40612",61,"retired","married","secondary","no",569,"no","no","cellular",4,"aug",219,1,-1,0,"unknown","yes"
"40618",33,"technician","married","tertiary","no",1699,"no","no","cellular",4,"aug",600,1,-1,0,"unknown","yes"
"24262",48,"technician","married","primary","no",4656,"no","no","cellular",17,"nov",44,1,-1,0,"unknown","no"
"27102",34,"blue-collar","married","primary","no",3527,"yes","no","cellular",21,"nov",1022,1,-1,0,"unknown","yes"
"13294",57,"management","married","tertiary","no",5,"yes","no","cellular",8,"jul",96,1,-1,0,"unknown","no"
"2698",44,"blue-collar","married","primary","no",617,"yes","no","unknown",13,"may",227,2,-1,0,"unknown","no"
"42200",52,"unemployed","married","secondary","no",94,"no","no","cellular",10,"nov",293,3,190,10,"failure","yes"
"5849",27,"unemployed","single","tertiary","no",-446,"yes","no","unknown",26,"may",120,1,-1,0,"unknown","no"
"35911",46,"services","divorced","secondary","no",355,"yes","no","cellular",8,"may",122,2,338,8,"other","no"
"34431",34,"entrepreneur","married","secondary","no",2,"yes","yes","cellular",5,"may",184,1,167,6,"failure","no"
"39348",24,"services","single","secondary","yes",-1414,"yes","yes","cellular",18,"may",171,2,-1,0,"unknown","no"
"34360",29,"management","single","tertiary","no",9407,"no","no","cellular",4,"may",267,6,-1,0,"unknown","yes"
"38139",23,"admin.","single","secondary","no",738,"yes","no","cellular",15,"may",347,1,-1,0,"unknown","no"
"23756",49,"blue-collar","married","primary","no",592,"no","no","cellular",28,"aug",133,15,-1,0,"unknown","no"
"15923",35,"technician","married","secondary","no",561,"yes","no","cellular",22,"jul",95,1,-1,0,"unknown","no"
"9878",56,"services","divorced","secondary","no",450,"no","no","unknown",9,"jun",47,1,-1,0,"unknown","no"
"27894",45,"management","divorced","tertiary","no",347,"no","yes","cellular",28,"jan",53,1,-1,0,"unknown","no"
"35277",34,"technician","married","secondary","no",-1490,"yes","yes","cellular",7,"may",219,1,-1,0,"unknown","no"
"42449",29,"technician","single","tertiary","no",2489,"yes","no","cellular",7,"dec",1002,3,283,2,"success","no"
"24156",47,"technician","married","secondary","no",0,"no","no","unknown",11,"nov",74,1,-1,0,"unknown","no"
"16679",29,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",24,"jul",36,1,-1,0,"unknown","no"
"30804",22,"student","single","secondary","no",0,"no","no","cellular",6,"feb",229,6,-1,0,"unknown","yes"
"16797",45,"management","married","tertiary","no",1034,"no","yes","cellular",24,"jul",1820,4,-1,0,"unknown","no"
"36299",33,"blue-collar","divorced","primary","no",142,"yes","no","telephone",11,"may",41,2,300,5,"failure","no"
"25418",31,"technician","married","tertiary","no",3564,"no","no","cellular",18,"nov",1377,1,-1,0,"unknown","no"
"41238",71,"retired","divorced","secondary","no",5584,"no","no","cellular",21,"aug",534,3,-1,0,"unknown","yes"
"32804",36,"services","single","secondary","no",92,"yes","no","cellular",17,"apr",36,1,-1,0,"unknown","no"
"31785",48,"management","married","secondary","no",4415,"yes","no","cellular",8,"apr",1032,3,141,7,"failure","yes"
"41560",28,"blue-collar","single","secondary","no",322,"no","no","telephone",11,"sep",240,2,95,3,"other","yes"
"29273",36,"management","married","tertiary","no",630,"no","no","cellular",2,"feb",285,1,-1,0,"unknown","yes"
"36033",40,"blue-collar","married","secondary","no",0,"yes","no","cellular",11,"may",54,1,-1,0,"unknown","no"
"22111",46,"management","married","tertiary","yes",-337,"no","yes","cellular",21,"aug",120,2,-1,0,"unknown","no"
"26740",49,"blue-collar","married","primary","yes",-98,"yes","no","cellular",20,"nov",182,2,-1,0,"unknown","no"
"14172",37,"services","married","secondary","no",-601,"yes","no","cellular",11,"jul",210,2,-1,0,"unknown","no"
"32047",36,"services","single","secondary","no",-253,"yes","no","cellular",14,"apr",1073,1,-1,0,"unknown","yes"
"8768",57,"management","single","secondary","no",137,"yes","no","unknown",4,"jun",91,4,-1,0,"unknown","no"
"34656",46,"blue-collar","married","unknown","no",9328,"yes","no","cellular",5,"may",725,3,-1,0,"unknown","yes"
"21707",52,"management","married","tertiary","no",7135,"no","no","cellular",19,"aug",1032,3,-1,0,"unknown","yes"
"3141",29,"blue-collar","married","secondary","no",416,"yes","no","unknown",14,"may",1118,2,-1,0,"unknown","no"
"29524",59,"retired","divorced","secondary","no",514,"no","no","cellular",3,"feb",261,1,-1,0,"unknown","yes"
"38075",48,"blue-collar","married","primary","yes",-50,"yes","no","cellular",14,"may",212,6,-1,0,"unknown","no"
"12583",42,"admin.","single","secondary","no",506,"yes","yes","unknown",3,"jul",277,2,-1,0,"unknown","no"
"9525",37,"blue-collar","married","secondary","no",1,"no","no","unknown",6,"jun",44,2,-1,0,"unknown","no"
"11240",51,"entrepreneur","single","secondary","no",440,"no","no","unknown",18,"jun",392,1,-1,0,"unknown","no"
"14347",32,"technician","married","secondary","no",396,"yes","no","cellular",14,"jul",41,2,-1,0,"unknown","no"
"10779",55,"technician","married","primary","no",1498,"no","yes","unknown",17,"jun",345,2,-1,0,"unknown","no"
"9500",53,"technician","married","secondary","no",480,"no","no","unknown",6,"jun",648,2,-1,0,"unknown","yes"
"35931",39,"management","divorced","primary","no",516,"yes","no","cellular",8,"may",207,2,-1,0,"unknown","no"
"17206",52,"blue-collar","married","primary","no",4711,"yes","no","cellular",28,"jul",228,2,-1,0,"unknown","no"
"9850",58,"housemaid","married","primary","no",422,"no","no","unknown",9,"jun",183,1,-1,0,"unknown","no"
"248",40,"management","married","tertiary","no",207,"yes","no","unknown",5,"may",39,1,-1,0,"unknown","no"
"21157",51,"management","married","tertiary","no",25856,"no","no","cellular",14,"aug",129,2,-1,0,"unknown","no"
"33557",33,"management","married","secondary","no",4040,"yes","no","cellular",20,"apr",132,2,-1,0,"unknown","no"
"33415",73,"retired","divorced","tertiary","no",3203,"no","no","cellular",20,"apr",148,1,-1,0,"unknown","yes"
"17781",41,"blue-collar","married","secondary","no",-190,"no","yes","cellular",29,"jul",808,3,-1,0,"unknown","yes"
"38117",42,"services","married","secondary","no",146,"yes","yes","cellular",15,"may",670,4,346,1,"failure","yes"
"6096",43,"admin.","married","secondary","no",429,"yes","no","unknown",27,"may",222,4,-1,0,"unknown","no"
"1576",36,"blue-collar","married","secondary","no",406,"yes","no","unknown",8,"may",826,3,-1,0,"unknown","no"
"22146",44,"technician","divorced","secondary","no",65,"no","no","cellular",21,"aug",148,4,-1,0,"unknown","no"
"15616",31,"housemaid","married","secondary","no",0,"yes","no","cellular",21,"jul",171,1,-1,0,"unknown","no"
"9775",49,"management","divorced","secondary","no",-46,"yes","no","unknown",9,"jun",1055,10,-1,0,"unknown","yes"
"10194",36,"services","married","secondary","no",2153,"no","no","unknown",11,"jun",181,2,-1,0,"unknown","no"
"33888",31,"technician","married","tertiary","no",3382,"no","no","cellular",30,"apr",739,1,-1,0,"unknown","yes"
"18127",35,"management","married","tertiary","no",-468,"yes","no","cellular",30,"jul",540,8,-1,0,"unknown","yes"
"27732",28,"admin.","married","tertiary","no",654,"no","no","cellular",28,"jan",198,1,-1,0,"unknown","no"
"23800",38,"technician","divorced","tertiary","no",82,"no","no","cellular",29,"aug",38,13,-1,0,"unknown","no"
"9113",45,"services","married","secondary","no",0,"no","yes","unknown",5,"jun",370,2,-1,0,"unknown","no"
"9516",29,"blue-collar","single","primary","no",213,"yes","no","unknown",6,"jun",2653,3,-1,0,"unknown","yes"
"41888",30,"unemployed","married","primary","no",1787,"no","no","cellular",19,"oct",79,1,-1,0,"unknown","no"
"40327",27,"services","single","secondary","no",246,"no","no","cellular",17,"jun",453,2,-1,0,"unknown","yes"
"31191",41,"management","married","secondary","no",280,"yes","no","cellular",27,"feb",87,2,-1,0,"unknown","yes"
"34079",53,"blue-collar","married","secondary","no",6112,"no","no","cellular",30,"apr",211,1,86,1,"success","no"
"31932",40,"blue-collar","married","secondary","no",1554,"yes","no","cellular",9,"apr",385,2,331,1,"failure","no"
"43525",62,"management","married","tertiary","no",997,"no","no","cellular",22,"apr",554,1,304,2,"success","yes"
"31516",23,"student","single","secondary","no",165,"yes","no","cellular",2,"apr",148,1,-1,0,"unknown","no"
"26704",31,"admin.","married","secondary","no",3052,"yes","yes","cellular",20,"nov",115,2,177,2,"failure","no"
"41181",22,"student","single","tertiary","no",691,"no","no","cellular",19,"aug",338,1,-1,0,"unknown","yes"
"6666",31,"services","single","secondary","no",605,"yes","no","unknown",28,"may",222,1,-1,0,"unknown","no"
"5004",31,"management","single","tertiary","no",825,"yes","no","unknown",21,"may",506,2,-1,0,"unknown","yes"
"30211",53,"admin.","married","secondary","no",264,"yes","no","cellular",5,"feb",159,1,-1,0,"unknown","no"
"11673",60,"retired","married","tertiary","no",2868,"no","no","unknown",20,"jun",42,7,-1,0,"unknown","no"
"21638",49,"admin.","married","tertiary","no",8413,"no","no","cellular",19,"aug",131,6,-1,0,"unknown","no"
"9563",59,"retired","divorced","primary","no",40,"no","no","unknown",6,"jun",108,1,-1,0,"unknown","no"
"21539",32,"management","married","tertiary","no",0,"no","no","cellular",19,"aug",198,6,-1,0,"unknown","no"
"2635",47,"blue-collar","married","unknown","no",1045,"yes","no","unknown",13,"may",411,2,-1,0,"unknown","no"
"17457",50,"housemaid","single","unknown","no",0,"no","no","telephone",28,"jul",118,8,-1,0,"unknown","no"
"16445",48,"technician","single","secondary","no",329,"no","no","cellular",23,"jul",711,1,-1,0,"unknown","no"
"6451",45,"admin.","married","secondary","no",-173,"yes","no","unknown",27,"may",315,2,-1,0,"unknown","no"
"15537",53,"unemployed","married","unknown","no",210,"yes","no","telephone",21,"jul",280,3,-1,0,"unknown","no"
"10791",37,"blue-collar","married","secondary","no",426,"no","no","unknown",17,"jun",285,1,-1,0,"unknown","no"
"1792",30,"management","single","tertiary","no",1108,"yes","yes","unknown",9,"may",261,1,-1,0,"unknown","no"
"4507",37,"blue-collar","married","primary","no",2240,"yes","no","unknown",20,"may",214,1,-1,0,"unknown","no"
"16266",53,"admin.","single","secondary","no",291,"no","no","unknown",23,"jul",145,1,-1,0,"unknown","no"
"24082",57,"unknown","married","unknown","no",19268,"no","no","unknown",23,"oct",301,1,-1,0,"unknown","yes"
"33278",41,"technician","married","tertiary","no",532,"yes","no","cellular",20,"apr",414,2,285,1,"failure","no"
"43294",25,"student","single","unknown","no",839,"no","no","cellular",15,"mar",109,1,181,2,"other","no"
"14738",52,"services","married","secondary","no",497,"yes","no","telephone",15,"jul",265,5,-1,0,"unknown","no"
"17474",27,"admin.","single","secondary","no",192,"no","no","telephone",28,"jul",1076,17,-1,0,"unknown","yes"
"4898",30,"blue-collar","single","secondary","yes",239,"yes","no","unknown",21,"may",412,1,-1,0,"unknown","yes"
"43098",60,"management","married","secondary","no",0,"no","no","telephone",22,"feb",230,2,126,6,"failure","no"
"2141",46,"services","married","secondary","no",997,"yes","no","unknown",12,"may",398,1,-1,0,"unknown","no"
"19814",33,"management","single","tertiary","no",1909,"no","no","cellular",8,"aug",191,2,-1,0,"unknown","no"
"44533",39,"blue-collar","married","secondary","no",1382,"yes","no","cellular",12,"aug",357,1,182,2,"success","yes"
"39788",25,"technician","single","secondary","no",938,"no","no","cellular",1,"jun",1048,1,-1,0,"unknown","yes"
"35231",42,"blue-collar","married","primary","no",1461,"yes","no","cellular",7,"may",757,2,170,3,"failure","yes"
"1468",57,"blue-collar","divorced","primary","no",-176,"yes","no","unknown",8,"may",275,1,-1,0,"unknown","no"
"3852",54,"management","divorced","tertiary","no",29887,"yes","no","unknown",16,"may",865,1,-1,0,"unknown","no"
"21245",36,"management","single","tertiary","no",2944,"no","no","cellular",18,"aug",882,8,-1,0,"unknown","yes"
"40204",49,"admin.","married","tertiary","no",6574,"no","no","cellular",8,"jun",138,3,-1,0,"unknown","yes"
"26245",51,"blue-collar","married","tertiary","no",2404,"yes","no","telephone",20,"nov",30,1,-1,0,"unknown","no"
"32482",35,"services","married","secondary","no",44,"yes","no","telephone",17,"apr",377,2,-1,0,"unknown","no"
"20337",52,"admin.","married","secondary","no",7742,"no","no","cellular",11,"aug",149,3,-1,0,"unknown","no"
"33804",72,"retired","married","primary","no",763,"no","no","cellular",24,"apr",384,2,-1,0,"unknown","yes"
"30700",29,"blue-collar","married","secondary","no",76,"yes","no","cellular",6,"feb",198,3,-1,0,"unknown","no"
"42118",59,"management","married","secondary","no",4412,"no","no","cellular",2,"nov",162,2,-1,0,"unknown","yes"
"28483",29,"entrepreneur","single","tertiary","no",430,"no","yes","cellular",29,"jan",624,2,-1,0,"unknown","no"
"15278",31,"services","married","secondary","no",1670,"no","no","cellular",18,"jul",185,2,-1,0,"unknown","no"
"42775",36,"management","married","tertiary","no",3949,"no","no","cellular",28,"jan",130,2,-1,0,"unknown","yes"
"28970",29,"technician","single","tertiary","no",2325,"no","no","cellular",2,"feb",125,1,-1,0,"unknown","yes"
"22587",34,"technician","married","tertiary","no",23,"no","no","cellular",22,"aug",289,6,-1,0,"unknown","no"
